,Tx.ZT0,Tx.ZT12,V.ZT0,V.ZT12
Cholesterol Metabolic Process (GO:0008203),-0.519952188611964,0.476614419700201,-0.155164457291769,0.201677590686262
Cholesterol Homeostasis (GO:0042632),-0.429829021115236,0.256585595404354,-0.12638428564707,0.312503978925157
Sterol Homeostasis (GO:0055092),-0.429829021115236,0.256585595404354,-0.12638428564707,0.312503978925157
Cellular Response to Insulin Stimulus (GO:0032869),-0.174221641351402,-0.181674571177442,0.116306737278163,0.253132847904521
Lipid Metabolic Process (GO:0006629),0.200160303605968,0.423285255964189,0.14817816005113,-0.14672208575364
Sterol Metabolic Process (GO:0016125),-0.540397035827251,0.445598828414041,-0.243651309915917,0.442726960384393
Photoperiodism (GO:0009648),-0.174003223761659,0.167249081843609,0.0215800845152923,-0.0614395462748132
Cellular Response to Lipid (GO:0071396),0.193504944016732,0.0267855260995705,-0.0302333944590063,-0.177306871556641
Sterol Biosynthetic Process (GO:0016126),-0.38397784970318,0.668918674271133,-0.215210360805708,-0.415474306730775
Glucose Metabolic Process (GO:0006006),-0.0118496069602051,-0.0683833341660394,-0.116955135670363,0.249737680962246
Entrainment of Circadian Clock by Photoperiod (GO:0043153),-0.218787237224545,0.264702004098493,-0.0799553844465006,-0.00333115568120018
Cholesterol Biosynthetic Process (GO:0006695),-0.38397784970318,0.668918674271133,-0.215210360805708,-0.415474306730775
Response to Insulin (GO:0032868),-0.242188790621736,-0.106991964640683,0.186620771060807,0.299799209713842
Phospholipid Homeostasis (GO:0055091),0.213565242687311,-0.277606372035927,0.0614619187305727,-0.0173728111950959
Regulation of Insulin Secretion (GO:0050796),0.155486887405856,-0.176542862098779,0.0203706346293355,-0.0478454326350081
Regulation of Bile Acid Biosynthetic Process (GO:0070857),-0.164936236571757,0.530971975815281,-0.416281206248636,0.224087209961187
Glucose Homeostasis (GO:0042593),0.0195520532612908,-0.00523477392147739,0.0649084282146322,-0.0215012638986157
Adipose Tissue Development (GO:0060612),0.00856404038541725,0.0861879100639712,0.0072349436318469,0.167239780016725
Regulation of Cholesterol Metabolic Process (GO:0090181),-0.505394293497558,0.644726083485001,-0.294680430766618,0.186629242346399
Regulation of Lipid Metabolic Process (GO:0019216),0.0268122683019575,0.0602005331991579,-0.151738483406389,0.0748145831577492
Regulation of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),-0.608065621206773,0.309520974912066,0.10554354234264,0.0109245936584066
Nuclear Migration (GO:0007097),0.194735373937467,-0.155791366041179,-0.121592642265922,0.334795101947098
Cellular Response to Sterol (GO:0036315),-0.588700757950249,0.457987225210958,0.0228244129225939,-0.244272775705914
Cholesterol Transport (GO:0030301),-0.551579366235166,0.427345732925522,-0.308888267117511,0.394420404952714
Insulin Receptor Signaling Pathway (GO:0008286),0.0486651838741866,-0.0926212259081372,0.160715137483838,-0.138599693034147
Lipid Catabolic Process (GO:0016042),-0.659808056507906,0.265357439883854,-0.293669826636371,0.674889904049159
Phospholipid Metabolic Process (GO:0006644),-0.427101026593379,0.422498577249823,-0.197955473513205,0.230596434826228
Phospholipid Transport (GO:0015914),-0.065253952857431,0.285238937655308,-0.127822894590377,-0.0135854019272262
Intracellular Glucose Homeostasis (GO:0001678),-0.134461797816193,0.125273751687795,-0.159114754949248,0.144159878553896
Glycerophospholipid Biosynthetic Process (GO:0046474),-0.215176518793178,0.113411127363225,0.0297767976110068,0.0932576565724343
Regulation of Glucose Metabolic Process (GO:0010906),-0.399780392156863,0.0712281723275988,0.0681198562443845,0.0705447725401768
Regulation of D-glucose Import (GO:0046324),-0.314192881632564,0.147752009653625,0.106371634230872,-0.16293066200975
Cellular Response to Glucose Starvation (GO:0042149),0.025679538940033,-0.224471153164631,-0.00879509798548905,-0.0813550280074686
Phospholipid Catabolic Process (GO:0009395),-0.265359949913005,0.0369012462515536,-0.191992871612519,0.382529906406008
Positive Regulation of Lipid Catabolic Process (GO:0050996),0.121832672359581,-0.220002132196162,-0.22601908712568,0.303611589800508
Estrogen Receptor Signaling Pathway (GO:0030520),-0.284447466284686,-0.112709832134293,-0.285952285614515,0.400427141875121
Sphingolipid Metabolic Process (GO:0006665),0.0990272712005868,-0.1147919125166,0.166378465824502,-0.181470036432056
Bile Acid and Bile Salt Transport (GO:0015721),-0.384603860062415,-0.370675349037244,0.0745326883110702,0.357829646912125
Positive Regulation of Lipid Biosynthetic Process (GO:0046889),-0.330107330984519,-0.00771015055423024,-0.095657177531275,0.386308380165844
Regulation of Mitotic Nuclear Division (GO:0007088),0.41291429534317,-0.220422672921229,0.00278618427733435,-0.403490649394746
Positive Regulation of Nuclear Division (GO:0051785),0.0879452156036728,-0.389164409549191,0.374095582653995,-0.239468527437657
Positive Regulation of Mitotic Nuclear Division (GO:0045840),0.28945075472324,-0.406622868647644,0.38184248533037,-0.470800843688307
Cellular Response to Glucose Stimulus (GO:0071333),0.0817592306371286,0.0909304586084535,-0.15769426868409,0.0527163253499942
Response to Glucose (GO:0009749),-0.0320673878190561,0.0266837259572527,-0.108739333309045,-0.0355730885192021
Intracellular Lipid Transport (GO:0032365),-0.45526617515416,0.334448175725154,-0.324485414312653,0.512850571116666
Membrane Lipid Catabolic Process (GO:0046466),-0.456978432611537,0.198078254335709,-0.273336583998982,0.486609600527161
Negative Regulation of Insulin Secretion (GO:0046676),0.259127337344231,0.057013034970411,-0.519098933302617,0.242864949132362
Sphingolipid Catabolic Process (GO:0030149),-0.411734691016749,0.178234573719489,0.146275733654882,0.195608238079231
Sterol Transport (GO:0015918),-0.423557080628415,0.264875000896679,-0.0458422174840085,0.103976788481895
