,Tx.ZT0,Tx.ZT12,V.ZT0,V.ZT12
Cholesterol Biosynthetic Process (GO:0006695),-0.575206982600032,-0.481788157814131,0.697650786049026,0.239523558470292
Sterol Biosynthetic Process (GO:0016126),-0.559521987074019,-0.433676488327651,0.548032765558065,0.305895475771892
Cholesterol Metabolic Process (GO:0008203),-0.398043089491351,-0.215202940531558,0.32668781191243,0.375180794043756
Lipid Biosynthetic Process (GO:0008610),-0.268970047239074,-0.158705383505474,0.390874609964149,0.150294860994103
Lipid Metabolic Process (GO:0006629),-0.230982290442891,-0.0457947335937369,0.299894094754343,0.0942373174088059
Phospholipid Metabolic Process (GO:0006644),-0.342546737699129,0.229181299191579,0.0457442705969568,0.326646580790536
Cellular Response to Insulin Stimulus (GO:0032869),-0.148684743300253,0.112722059743718,-0.0602904667853684,0.0730911758772659
Response to Insulin (GO:0032868),-0.162123571666319,0.303348832159657,-0.333072390013337,0.130750108933612
Lipid Transport (GO:0006869),-0.334723631247824,0.236771793926176,0.0637395394633019,0.00739973096389926
Glucose Metabolic Process (GO:0006006),-0.181356845750166,0.00792304696424173,-0.207980428114277,0.431768717990046
Positive Regulation of Lipid Biosynthetic Process (GO:0046889),-0.33256739695591,0.325220869155176,-0.262094133347205,0.212586775869978
Glycerophospholipid Biosynthetic Process (GO:0046474),-0.327106329578469,-0.00628200155164094,0.0422874822650827,0.292859887378832
Insulin Receptor Signaling Pathway (GO:0008286),0.0464959568733153,-0.245993076155756,0.213721791949462,-0.0632760775263195
Regulation of D-glucose Import (GO:0046324),-0.18865591660204,0.0943813962344157,-0.144433355008836,-0.0259863971528662
Regulation of Nuclear-Transcribed mRNA Catabolic Process; Deadenylation-Dependent Decay (GO:1900151),0.104334821222397,0.191249470144816,-0.394996908555449,0.177517172815155
Positive Regulation of D-glucose Import (GO:0046326),-0.168473640810938,-0.0226916549594181,-0.058643356059386,-0.0727164699954124
Positive Regulation of D-glucose Transmembrane Transport (GO:0010828),-0.05363398218401,-0.08189018741047,-0.232166890982503,0.142813249029712
Cholesterol Homeostasis (GO:0042632),-0.232869185065304,-0.234628047479077,0.427469196706215,-0.0469910499780216
Positive Regulation of Lipid Metabolic Process (GO:0045834),-0.15502120715812,0.106648198116592,-0.143163015663317,0.308322405205847
Response to Estrogen (GO:0043627),0.042903937360937,-0.0924780090442345,-0.0105282684025944,0.140935082408342
Entrainment of Circadian Clock by Photoperiod (GO:0043153),-0.159492716890568,0.276462170364939,-0.263481456732376,0.142446931326458
Sphingolipid Metabolic Process (GO:0006665),-0.0555476360722165,-0.155747596981511,0.257719983139691,-0.0967876507601098
Sterol Homeostasis (GO:0055092),-0.232869185065304,-0.234628047479077,0.427469196706215,-0.0469910499780216
Intracellular Glucose Homeostasis (GO:0001678),-0.0996342991777988,0.348909128388175,-0.417101068042321,0.191630324199297
Glucose Homeostasis (GO:0042593),-0.0767342052465905,0.0436987549058674,-0.100763845720583,0.0929923624978698
+ Reg of Nuclear-Transcribed mRNA Cat Proc; Deadenylation-Dep Decay (GO:1900153),0.0420282659142895,-0.00934409797799551,-0.299858065929258,0.271587952645994
Regulation of Glucose Metabolic Process (GO:0010906),-0.187935278286602,-0.011809725869272,0.085506877557858,0.0892518180459064
Glycerophospholipid Metabolic Process (GO:0006650),0.0430374249369699,0.00928836676667971,-0.0656700067877713,-0.125522164496033
Glycerophospholipid Catabolic Process (GO:0046475),-0.0348740089880151,0.147956524075081,-0.136794194374923,0.0827409847289226
Lipid Catabolic Process (GO:0016042),-0.417074766677694,0.390487385133698,-0.392912935372362,0.37586368502086
