,Tx.ZT0,Tx.ZT12,V.ZT0,V.ZT12
Cholesterol Metabolism W Bloch And Kandutsch Russell Pathways WP4346,-0.481710754765868,-0.438625421728379,0.633730174964724,0.235244938261733
Cholesterol Biosynthesis WP103,-0.699215717014436,-0.514117300262437,0.788940208794604,0.35109379773935
SREBF And miR33 In Cholesterol And Lipid Homeostasis WP2084,-0.672908756543029,0.266046137781845,-0.464525891055817,0.737390719569603
Glycerolipids And Glycerophospholipids WP4345,-0.252464482021591,0.171329774954339,-0.151595715725239,0.285337323271919
Exercise Induced Circadian Regulation WP544,-0.173405781742442,0.120652196634408,-0.0678920050107649,0.132977966270129
Adipogenesis Genes WP447,-0.23243008831262,-0.0936076855024681,0.0292029179466013,0.258777151189853
Insulin Signaling WP65,-0.245362581314717,0.107697556180868,-0.262845667561438,0.375540936768632
Nuclear Receptors WP509,-0.295021426379808,0.070238849712309,-0.163396020314979,0.428670437329865
Nuclear Receptors In Lipid Metabolism And Toxicity WP431,-0.227373042933132,0.150110117955546,-0.274299321803149,0.547856078741931
Estrogen Signaling WP1244,-0.034577327759383,0.115972618982671,-0.0946444163125559,0.0754184719238525
Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855,-0.370122070373366,-0.106670907744874,0.236427309924664,0.352876164857429
Estrogen Metabolism WP1264,-0.696115321860254,0.486292803299192,-0.281325952680259,0.70218417419143
Leptin Insulin Signaling Overlap WP578,0.27621279850205,-0.627088625011194,-0.302979354745806,0.210659045057162
