Unnamed: 0	ZT0Tx_Rep2	ZT0Tx_Rep3	ZT0Tx_Rep4	ZT0V_Rep2	ZT0V_Rep3	ZT0V_Rep4	ZT0_Tx_rep2_hem	ZT0_Tx_rep4_hem	ZT0_V_rep2_hem	ZT0_V_rep3_hem	ZT0_V_rep4_hem	ZT12Tx_Rep2	ZT12Tx_Rep3	ZT12Tx_Rep4	ZT12V_Rep2	ZT12V_Rep3	ZT12V_Rep4	ZT12_Tx_rep2_hem	ZT12_Tx_rep3_hem	ZT12_Tx_rep4_hem	ZT12_V_rep2_hem	ZT12_V_rep3_hem
ENSMUSG00000000001	1998	2029	1975	2638	1990	2049	739	1325	730	975	1033	1876	1705	1571	1781	1712	1994	679	959	1096	822	834
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	27	35	32	30	27	33	25	19	16	12	25	30	38	49	28	44	39	23	42	18	26	28
ENSMUSG00000000031	2	1	1	1	2	1	8	4	1	0	2	0	1	4	1	2	2	10	5	16	1	0
ENSMUSG00000000037	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	1	2	0	0	1	0
ENSMUSG00000000049	30663	30879	31263	38424	32270	30321	13704	26020	13664	19060	19726	31071	26361	27104	27630	30441	34405	16973	18640	22811	18131	16775
ENSMUSG00000000056	983	939	828	1132	920	849	428	678	397	534	648	1813	1676	1546	1599	1760	2044	1034	1184	1265	1026	1147
ENSMUSG00000000058	103	57	82	82	86	107	25	53	31	34	32	88	80	62	72	58	104	30	40	56	23	37
ENSMUSG00000000078	146	202	196	213	175	201	137	197	112	136	142	133	151	131	139	151	181	126	113	159	93	121
ENSMUSG00000000085	245	289	207	271	270	226	157	230	155	174	217	236	227	180	216	216	242	157	149	217	157	142
ENSMUSG00000000088	1462	1602	1405	2315	1730	1470	827	1508	868	991	1144	1949	1853	1669	1620	1598	1633	944	975	1304	1145	924
ENSMUSG00000000093	109	95	84	87	71	95	40	102	45	58	76	118	134	88	114	99	136	98	79	102	105	68
ENSMUSG00000000094	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	2	1	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	159	102	98	108	118	144	67	104	70	69	110	40	33	38	29	28	42	33	30	58	19	19
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	17	10	10	20	14	10	12	10	8	9	9	15	31	11	25	22	22	5	9	14	6	3
