,ZT0 Tx,ZT0 V,ZT12 Tx,ZT12 V
0610031O16RIK,180.2436691692491,252.1411081286538,251.45515017990996,331.09673558288887
1110059E24RIK,66.13728037450119,63.003201459074525,97.41999603809018,102.40264921515234
1110065P20RIK,100.55078125851907,127.59748954402285,158.5605363640566,121.5406833245528
1700092C10RIK,3.986291061911662,8.9244680288979,20.327870335881425,12.557027683468633
2010003K11RIK,156.57984659801744,57.88081614399104,48.383404688518034,61.10719786643477
2310061I04RIK,152.68570174142764,161.67501919804903,203.81959564641707,222.61343279414328
4732465J04RIK,388.2970116408288,411.5680631893579,213.6102698924769,324.57870598060816
4931406C07RIK,2550.2347196388987,2303.301876895008,1902.6089944230266,2233.170831345929
5430416N02RIK,89.0693758299218,104.37542795740552,125.76142758947913,124.43327575693871
6430548M08RIK,157.56993336552523,147.9964073603056,224.28361895837122,165.72912151362812
9430062P05RIK,4.012570612227178,15.292109123394843,16.731182464299128,15.072698109749497
9530086O07RIK,63.399435731794064,29.321969015024496,29.709812308457682,37.43585754326498
A530072M11RIK,20.805334247157965,13.536608055227703,5.292247842691291,7.733629769629316
ABCA3,3491.568017537205,3277.8287148803097,2322.9463039373327,2524.5478291469985
ABCA8A,1141.941531619667,2216.836688402576,1987.050635537826,2105.1562212444524
ABCB10,377.3304431483309,441.65294327294947,472.5090013658411,543.2706097833988
ABCG1,173.6224337401632,184.4934800968968,256.6160908597751,224.5467641933552
ACMSD,680.1305509932889,645.8509728013511,326.9785573279666,193.9397020539077
ACOT1,609.7220047964287,719.9889091194309,364.8742000138607,554.3723830694975
ACP3,243.23338616620595,92.07040760642721,76.01182598250334,64.23061120022375
ACSL3,279.7562404110878,373.09640852236186,485.7565348855878,395.66998646256536
ACSL4,923.2018240061434,1024.6933413209972,1275.1562197229462,1117.2281573716411
ACSS3,1076.2839369280327,1163.2687060676253,623.7011209768516,953.4564494442739
ACTB,16844.704163849427,12794.358215463371,10795.413503860558,9947.7903268497
ACTB-PS1,51.28510316989521,27.995312954716805,19.209907948025002,17.78977535922827
ACTMAP,181.621295414302,187.27556395007926,235.80464105013277,231.07383171177645
ADAMTS7,132.8112413839588,224.77564209495068,377.17258285688865,270.32951300867353
ADGRF1,72.46056904719961,79.21907437008558,139.89392428887948,88.28550299690289
ADNP2,158.79210023441425,166.57329203464445,101.79052715895573,129.12568607172165
ADRB3,68.71522978958602,63.83188575230046,102.5716144546217,71.855065578584
ADRM1B,58.379370504660436,36.12341402292737,27.32500041301533,33.21851055271399
AEN,277.2482579440326,170.1829157407594,169.86454179964696,188.50077265838286
AGAP1,399.6163039160745,460.45559623079924,500.70128048039845,510.78911363588696
