,ZT0.Tx,ZT0.V,ZT12.Tx,ZT12.V
Cholesterol Metabolism W Bloch And Kandutsch Russell Pathways WP4346,-0.16537745308695,-0.379923341263547,0.501071593359511,-0.231334177703265
Cytoplasmic Ribosomal Proteins WP163,-0.722034552782461,-0.296698093265125,0.592660550458716,0.339503310145512
Oxidative Stress And Redox Pathway WP4466,0.405815151358041,0.298081003499793,-0.791925201197919,0.272522968362463
PPAR Signaling Pathway WP2316,0.0440212258471178,-0.391679072571716,0.576509496242129,-0.192170388059289
Cholesterol Biosynthesis WP103,-0.081374321880651,-0.795660036166365,0.757685352622061,0.0268647281921618
Wnt Signaling Pathway And Pluripotency WP723,0.162183442035372,0.345763736790484,-0.413309914129586,-0.322919340839354
Omega 9 Fatty Acid Synthesis WP4351,-0.418017387460399,0.584660125273844,0.0208652897641293,-0.654650286990624
Apoptosis Modulation By HSP70 WP166,0.174513558090449,0.274743307234282,0.416903894782042,-0.378610108303249
Apoptosis WP1254,0.166588266384778,0.149090909090909,0.145494071146245,-0.1880281004382
Complement Activation Classical Pathway WP200,-0.153607492282739,0.178102114492006,0.750204389083326,-0.772546243929532
P53 Signaling WP2902,0.345383973399393,0.332585534718021,0.0396669451847284,-0.365606529693217
Glutathione Metabolism WP164,0.480792551189663,0.0136919153446163,-0.729802769789308,0.121762950312397
Spinal Cord Injury WP2432,0.455173362685746,-0.130434782608696,0.0559757563614506,-0.0284969874613255
Metapathway Biotransformation WP1251,0.314767564655936,-0.39588212334114,-0.558292947923142,0.457368375401162
Folic Acid Network WP1273,-0.0549020403196366,-0.197291190844569,-0.505611302197334,0.514411781559796
FAS Pathway And Stress Induction Of HSP Regulation WP571,-0.275969935637582,0.473852149095976,0.501259295946065,-0.449934475917154
Comprehensive IL 17A Signaling WP5242,0.387887211544856,-0.0111526633042194,0.310922838975769,-0.495007132667618
Elongation Of Very Long Chain Fatty Acids WP4491,0.654054054054054,0.272072072072072,-0.16036036036036,-1
Delta Notch Signaling Pathway WP265,0.172740199863695,0.180824805114341,-0.0529770202617989,-0.262934195450929
Notch Signaling Pathway WP29,-0.266236250484159,0.0604227723389663,0.173179961154645,-0.105108499095841
Omega 3 Omega 6 Fatty Acid Synthesis WP4350,-0.646019322489911,0.786489067864426,0.0335734810311083,0.0216216216216216
Eicosanoid Metabolism Via Cytochrome P450 Monooxygenases WP4349,-0.225637988586196,-0.0540540540540541,-0.750801182862252,0.507310495208585
Wnt Signaling WP403,-0.1757070852771,0.117576853526221,-0.351785926862313,0.134121223028776
