,ZT0 Tx,ZT0 V,ZT12 Tx,ZT12 V
1110059E24RIK,61.57305654007237,59.201406033855314,99.18895344400482,109.58468092018757
1810010H24RIK,24.462355674945748,16.075012035467335,30.797224573822245,43.224686564781365
1810019D21RIK,372.25110806492285,398.82902734371834,282.79352143804147,245.1839881562078
2410002F23RIK,109.35043920371857,104.4547440959981,143.78138312567137,176.83606765945655
2510009E07RIK,204.52440747461006,193.47018132772158,179.9121553857001,158.80490936892815
2510039O18RIK,390.5502517870421,354.9352012009386,433.31403326079084,502.3729702915404
2610021A01RIK,92.49851384199998,105.56423932574405,153.38395565368543,173.6925364887182
4732416N19RIK,45.004687273246645,53.90492231695995,69.87561536857586,95.87473163208595
4930481A15RIK,69.56428390970044,56.10619117450397,91.76351951489346,101.3646831616248
4930594M22RIK,29.599980271928793,38.3107954699774,30.65900941905598,24.69801629290159
4933421A08RIK,9.937754844242919,4.04145676498086,14.478059732710278,13.531212824362187
5730521K06RIK,25.53694376857686,31.04708967135892,13.303342319362793,14.473506567526043
9030616G12RIK,93.55676835636854,91.40779165045831,58.151523915231756,68.79661288806139
9430038I01RIK,81.27041788480469,66.15638719773204,86.97691469255163,117.846908634386
9630050E16RIK,167.85660871034594,114.8913721009742,74.17980944674851,80.12544141850735
A430019L02RIK,42.36436876140158,45.74963089888113,32.881767082069494,29.206762129744792
AACS,506.8272053008428,1044.6806141695308,3216.274508838536,3462.6926817942726
ABCA3,3239.9297174899425,3074.867958817644,2367.0332613432274,2699.3466699448286
ABCB8,402.2588545206677,361.50843870199924,514.5247019524691,630.7892327606129
ABHD14B,1505.502529692424,1559.4611205192498,1989.7114877583213,2300.9264597007336
ABHD17B,132.5600584412797,126.82349985787884,180.38001623877093,238.35127583003202
ABHD17C,778.0924923125121,765.5176953291916,541.9266539526596,626.3176121913586
ABHD8,57.912088189426505,85.57121294595412,71.87276052398938,58.711674355124515
ABTB1,308.8695989599001,273.5542988838077,335.30579866727845,423.8283455746069
ACACB,5240.057624747908,4192.773281995495,4835.079827191828,3763.0508933965643
ACER2,201.00398279214997,189.52789853417147,243.9600045337207,306.5597536941536
ACMSD,630.0247878772966,607.1354422407048,332.79298675687505,207.37959398202912
ACOT1,567.0216070701534,675.044887475299,372.14915912563396,592.9711884782898
ACOT11,205.84988450460887,168.64021061818312,284.43741582592133,297.9690016261622
ACTR6,70.87095860191539,63.37874379120581,97.70905045300736,120.90598111546079
ACY3,549.8076869898179,521.8579368150615,685.932096539387,753.6634891004135
ADAM15,97.0126192358457,76.68510802709794,75.3995121329427,56.40314465587925
ADAMTS2,130.2654010687891,113.76229674093265,103.86663797788736,90.22071585133386
ADAMTS9,140.51368113534,115.80439189909696,89.37322565475554,74.8525022844876
ADH5,3151.02911922374,2929.0821843089543,4041.0221818101622,4452.7717663927815
ADHFE1,1067.440409512912,927.5294918432741,1100.533457416843,1284.1915963175572
ADK,6522.847135728103,5732.335581833296,6795.3443697484445,8042.259714571191
AEBP1,54.283786997305796,58.27408913567352,51.57186350945082,37.52384821054417
