,ZT0.Tx,ZT0.V,ZT12.Tx,ZT12.V
Adipogenesis Genes WP447,0.201857043238371,0.373285934048187,-0.184910309849791,-0.0212824783002055
Factors And Pathways Affecting IGF1 Akt Signaling WP3675,-0.171143565416726,-0.0523338048090524,0.319591264558335,0.406393210749646
PPAR Signaling Pathway WP2316,0.343745531141902,0.0692870958828406,-0.0778416872089839,-0.121473126548748
Cholesterol Metabolism W Bloch And Kandutsch Russell Pathways WP4346,-0.406195741569953,0.138645271450192,0.379973919690634,-0.257781389314142
Elongation Of Very Long Chain Fatty Acids WP4491,0.963380281690141,-0.0309859154929577,-0.0492957746478874,-0.801408450704225
Fatty Acid Biosynthesis WP336,0.488612915362164,-0.193670153354476,0.44973840905459,-0.358542267505912
Focal Adhesion WP85,0.107568969976058,0.223675113668542,0.0485242826066242,-0.341503828024522
Integrin Mediated Cell Adhesion WP6,0.162854609929078,0.207999617928696,-0.151989313996756,-0.359566781161373
Fatty Acid Oxidation WP2318,-0.626245828383958,0.373901149680234,-0.701781026842417,0.651760563380282
Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855,0.695942577815561,-0.469502249607993,-0.220082365767111,-0.345991370625386
EGFR1 Signaling Pathway WP572,0.380592978898064,0.477105178136106,-0.217429065643351,-0.57742131627816
Primary Focal Segmental Glomerulosclerosis FSGS WP2573,-0.118495782487445,-0.0495049504950495,-0.26975216492286,0.482521926489954
One Carbon Metabolism WP435,0.0899321646853382,-0.390288132178118,0.0775049869979468,0.160898781061153
Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841,0.11256091815949,-0.13907221256674,0.389370197616941,-0.475320614293091
Alanine And Aspartate Metabolism WP240,0.052112676056338,0.0550399913823283,-0.766088000873458,0.785725893824485
Iron Homeostasis WP1596,-0.728547039814645,-0.272380042969682,0.649088735310413,0.24396235231293
Type II Interferon Signaling IFNG WP1253,0.541754999264496,0.669900506995006,0.037487530847285,-0.827375559271056
Retinol Metabolism WP1259,0.383635144198525,0.746478873239437,-0.551237802240061,-0.328169014084507
Exercise Induced Circadian Regulation WP544,-0.212721463441391,0.6807821657485,-0.200798523065973,-0.0988700564971751
TGF Beta Signaling Pathway WP113,0.705424996222147,-0.125706214689266,-0.278453918713756,-0.232274424290481
Purine Metabolism WP2185,-0.29897591739697,-0.425247895201445,0.543884418589839,0.029145625889047
Fatty Acid Beta Oxidation WP1269,-0.378291020216267,0.538217216000555,-0.782341872227364,0.60434127799957
Cholesterol Biosynthesis WP103,-0.767605633802817,-0.277464788732394,0.952112676056338,0.118309859154929
Oxidation By Cytochrome P450 WP1274,-0.74405033870359,0.644032755514653,0.348423011133451,0.401309895932604
Parkinson 39 S Disease WP3638,-0.454710059922881,-0.0548066415334062,0.167992161603711,0.512369419886018
Regulation Of Cardiac Hypertrophy By miR 208 WP1526,-0.853727144866385,-0.195499296765119,0.20393811533052,0.915611814345991
Regulation Of Actin Cytoskeleton WP523,0.390230662850635,0.0459214193460676,0.177209484854737,-0.775889907429332
Ovarian Infertility WP273,0.704225352112676,0.292957746478873,-0.601408450704225,-0.390140845070423
Statin Pathway WP1,-0.134549372739167,-0.680281690140845,0.860486952724097,0.814859730590628
Tryptophan Metabolism WP79,-0.103514405849994,0.405035874164469,-0.0544124884803281,-0.166201235850162
Synthesis And Degradation Of Ketone Bodies WP543,-0.918424753867792,-0.153305203938115,0.589310829817159,0.412095639943741
Hedgehog Signaling Pathway WP116,0.595175969823857,0.604330460374185,-0.66056338028169,-0.330985915492958
Triacylglyceride Synthesis WP386,-0.0915492957746479,-0.702816901408451,0.0577464788732394,0.822535211267606
Eukaryotic Transcription Initiation WP567,-0.49083215796897,-0.53737658674189,0.407616361071932,0.638928067700987
Alpha 6 Beta 4 Integrin Signaling Pathway WP488,0.265169176485414,0.364406779661017,0.215610246884916,-0.577076740792116
Glycerolipids And Glycerophospholipids WP4345,0.101408450704225,-0.681783347141673,0.872864810345449,-0.00726486579048763
Matrix Metalloproteinases WP441,0.733802816901408,0.414673756826674,-0.582248664400194,-0.497183098591549
GPCRs Peptide WP234,-0.00870965704541149,0.546478873239437,0.186179895256013,-0.677464788732394
ID Signaling Pathway WP512,0.487276627442347,-0.393604556272548,-0.115933567312844,-0.223097983904422
miR 127 In Mesendoderm Differentiation WP3991,0.369901547116737,0.631504922644163,-0.924050632911392,-0.0886075949367089
Hfe Effect On Hepcidin Production WP3673,0.322081575246132,-0.578059071729958,-0.409282700421941,0.462728551336146
Biogenic Amine Synthesis WP522,-0.884669479606188,-0.172995780590717,0.372714486638537,0.738396624472574
Lung Fibrosis WP3632,0.835857144435402,-0.791384547538578,0.382847617826461,-0.471958446155741
Comprehensive IL 17A Signaling WP5242,0.0651385857601843,0.452512560633802,-0.0405460584843229,-0.557847089056732
ApoE And miR 146 In Inflammation And Atherosclerosis WP3592,0.516174402250352,-0.0942334739803095,0.893108298171589,-0.946554149085795
Methylation WP1247,-0.282700421940928,-0.763713080168776,0.293952180028129,0.575246132208157
Estrogen Signaling WP1244,-0.0266021462240497,-0.510372007611939,0.0372603186479047,0.473297089862488
Nuclear Receptors In Lipid Metabolism And Toxicity WP431,0.649558891812413,0.786594340819693,-0.726719974022811,-0.26056338028169
Glutathione And One Carbon Metabolism WP730,-0.508450704225352,-0.533802816901409,0.46056338028169,0.474647887323944
