,ZT0Tx,ZT0V,ZT12Tx,ZT12V
0610043K17RIK,30.609680625285176,40.74451601584977,66.16475070297365,75.50595903846316
1300002E11RIK,236.51807558518428,204.36782597045865,143.7244955807786,154.96386166526798
1300014J16RIK,86.84021347492416,79.91854068779458,46.05027807773391,61.67888265645572
1700007F19RIK,28.018371634956498,33.050973786607706,11.782177783347755,8.439242139110497
1700066M21RIK,798.0228994235679,790.6132668919121,542.8392983291427,584.3643158588133
1810010H24RIK,27.97268825655947,29.94451516386955,45.93845968343037,43.84207048290277
1810019D21RIK,601.3471466679342,530.7580486089822,332.96382700526965,367.7210148230935
1810021B22RIK,39.3132876960635,37.87024181891464,61.495815478925216,57.306723647047534
1810064F22RIK,199.81386108529887,136.02114728773205,101.35598144782237,107.86729376621282
2610008E11RIK,446.0430320765425,353.9538590506356,256.5340561563727,255.6202203822905
2610507I01RIK,183.78228657500782,158.7054179243289,120.72134771029788,123.941610772989
2810021J22RIK,84.32187426708931,86.45578354291573,47.976314860655954,52.78439080228128
2810405F17RIK,31.56082324727518,28.45268463700693,15.16880983852225,16.104610094639373
2810459M11RIK,2415.734292207084,2183.09699521247,1479.1768757844832,1465.9834080003538
2900089D17RIK,7.5462520949311545,6.877909101613631,16.535903799271008,16.41237462841755
4632427E13RIK,769.5902619991107,715.5707818262632,527.8978332638161,500.9177547412858
4732419C18RIK,130.7605823707539,123.60082092023335,75.65542248874497,77.08475491109478
4833411C07RIK,261.6629895287718,201.78790881809468,123.55992509283517,131.96830151553291
4833439L19RIK,1395.8291892575553,1447.5364531434575,1649.854000188147,1611.072631258685
4930412C18RIK,160.43272654350085,139.32539416508715,105.42571246160018,117.82528931908011
4930523C07RIK,324.5269413271839,291.2266935144525,431.3284975308848,450.9206942018359
4930556M19RIK,273.48877522779634,220.98424285503975,121.51562427002217,117.49689234952605
4930594M22RIK,77.35978223974045,47.81676045664525,39.817639706758364,35.41922036295548
