,ZT0Tx,ZT0V,ZT12Tx,ZT12V
TCA Cycle WP434,-0.657405943207312,0.576111396869719,0.543856401339503,0.100694331306226
Glycolysis And Gluconeogenesis WP157,-0.601477962869319,0.421256781833383,0.547968142795587,0.52983253274791
Electron Transport Chain WP295,-0.531481834678742,0.715136309804943,0.443123106208812,-0.541863057301865
mRNA Processing WP310,0.054142530968571,-0.273357387228654,0.151057852187375,0.0117255600201252
Amino Acid Metabolism WP662,-0.571037631625638,0.228747754617135,0.450042890559164,0.332433561107643
Oxidative Phosphorylation WP1248,-0.536682335418149,0.736639679746447,0.516299879057178,-0.439522003200201
Insulin Signaling WP65,-0.468078903641341,0.0127955947804278,0.112811278912036,0.468038416143104
Alanine And Aspartate Metabolism WP240,-0.735016291733209,0.23969590269528,0.0110470758640195,0.167685808596036
Translation Factors WP307,-0.578476542374882,-0.0367500383476977,0.273782193268861,0.456612624065025
Methylation WP1247,-0.485697127398918,0.123636877677319,0.840048617089216,0.139817602184991
Adipogenesis Genes WP447,-0.0879908588859059,-0.210713641960033,-0.0877853269092734,0.439896285219698
Mechanisms Associated With Pluripotency WP1763,-0.0151157432153833,0.0671108653821038,-0.129362132928346,0.0377299289306065
Hfe Effect On Hepcidin Production WP3673,-0.497441546336584,0.144013819853061,0.194403661655458,0.240382781727998
One Carbon Metabolism And Related Pathways WP1770,-0.417327026277129,0.1594717556501,0.390115716810618,0.0938453676827073
Mapk Signaling Pathway WP493,-0.217137736750037,-0.19178445987209,0.177162749531171,0.316776807667219
P53 Signaling WP2902,-0.301270663566468,-0.0389126889503141,0.267006156754605,0.236003837255967
Purine Metabolism WP2185,-0.44907398867743,0.192397338515601,0.179935104947888,0.173347567679153
Glutathione And One Carbon Metabolism WP730,-0.502109071304804,-0.0463775497211542,0.335203877702463,0.403616978894256
Alpha 6 Beta 4 Integrin Signaling Pathway WP488,-0.0915465794499529,-0.365739809019296,-0.171395135154747,0.464437808366558
Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855,-0.340542604838169,0.188560232451382,-0.0490872982869147,0.483707138333712
MicroRNAs In Cardiomyocyte Hypertrophy WP1560,-0.228948628377495,-0.100645937347345,0.00874821497224121,0.285405367469347
ID Signaling Pathway WP512,-0.185442382196594,-0.0313150091917215,-0.328445155492198,0.427785678009142
Microglia Pathogen Phagocytosis Pathway WP3626,0.22266442759868,0.057391452345771,-0.363244740090955,0.0340008789626552
IL 5 Signaling Pathway WP151,-0.0206305889021005,0.0191579426490669,-0.394111986047595,0.451629367365399
Triacylglyceride Synthesis WP386,0.0254083484573502,0.00736019222082557,0.184967753215444,-0.364763519244489
Myometrial Relaxation And Contraction Pathways WP385,-0.0788232180017126,-0.235241859876773,-0.154141990273494,0.222517495680951
Exercise Induced Circadian Regulation WP544,0.373086285442306,-0.112827829868189,-0.0160894368789106,0.144545454545455
One Carbon Metabolism WP435,-0.439878197978274,0.143135214295189,0.0282582152599034,0.19786838916679
EGFR1 Signaling Pathway WP572,0.102401841727598,-0.16953409610984,-0.15554131413194,0.398054628381976
Retinol Metabolism WP1259,-0.534162341284824,0.0711429570975471,0.116205174761689,0.061344321851351
Comprehensive IL 17A Signaling WP5242,-0.357072271261166,-0.505240597116931,0.293345336426002,0.498840545980669
Eicosanoid Lipid Synthesis Map WP4335,0.383000135715707,-0.00713536168087414,0.168554599003172,-0.696539785953121
Non Homologous End Joining WP1242,0.0677606893098707,0.720888083371092,-0.303533496295115,-0.604893520616221
Calcium Regulation In Cardiac Cells WP553,-0.0999504788452374,-0.502765113058209,-0.100887086587111,0.47087746558485
Hypoxia Dependent Proliferation Of Myoblasts WP5024,0.0774087753351141,-0.574154448801747,-0.346110080665572,0.618939453663921
IL 2 Signaling Pathway WP450,0.0113791533909877,-0.400392322320632,-0.372768989428536,0.531203603934575
Fatty Acid Beta Oxidation WP1269,-0.171010793176475,0.27083891626424,-0.360286831703996,-0.345204036304408
Lung Fibrosis WP3632,0.0216039466640655,-0.386245592724569,0.277405586992139,0.211725784306162
Parkinson 39 S Disease WP3638,-0.10550957411566,-0.296593086581677,0.125930081958423,0.308666656821963
Omega 3 Omega 6 Fatty Acid Synthesis WP4350,0.24440303466117,-0.356382975493372,0.113780598368087,-0.0916750946983316
Burn Wound Healing WP5056,0.596440906539391,-0.597401769110828,-0.0326382592928377,-0.0185428193052962
GPCRs Orphan WP1398,0.386737415911338,0.0829555757026292,-0.679353766322243,0.185346501872824
Regulation Of Actin Cytoskeleton WP523,-0.227412596792712,-0.103348279229506,-0.0892588950781322,0.234181556019399
Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841,0.132420621372482,-0.230644084878669,-0.0820674373909006,0.248515087148431
Eukaryotic Transcription Initiation WP567,-0.192130192975253,0.157907899130681,0.0231592707217276,-0.150380883476892
Nucleotide GPCRs WP207,0.0782688528403849,0.272962651304292,-0.37464655828203,0.101442459133162
