,ZT0Tx,ZT0V,ZT12Tx,ZT12V
mRNA Processing WP310,0.242087355903748,0.0390591967305409,0.0295722598952022,-0.308516369909648
Mechanisms Associated With Pluripotency WP1763,-0.257335788731661,-0.359814285211416,0.177966778372292,0.342575015535031
Estrogen Signaling WP1244,0.0648146742799943,-0.228882419336095,-0.022592627029369,0.195976342961569
Mapk Signaling Pathway WP493,-0.36748825432958,0.0224838674330931,-0.0837257061631101,0.389864625671739
Translation Factors WP307,-0.303728601303144,0.122529097951966,0.236633002920454,-0.0175729293074162
Alzheimer 39 S Disease WP2075,-0.305425079910009,0.255500962738012,0.123472756552505,0.158385703237961
IL 5 Signaling Pathway WP151,-0.265016741318553,0.438810525460511,-0.409619385436038,0.122016071015889
EGFR1 Signaling Pathway WP572,-0.266294971510605,-0.00109418893977317,-0.0388265527983357,0.135150974072972
G13 Signaling Pathway WP298,-0.399021443599726,0.091067939049746,0.133228908907518,0.201815038893691
G1 To S Cell Cycle Control WP413,0.211327972569265,0.292030685173432,0.0206564096783497,-0.662531118281777
Insulin Signaling WP65,-0.268931178358454,-0.0525022350225025,-0.299881141526482,0.399580451041998
MicroRNAs In Cardiomyocyte Hypertrophy WP1560,-0.0548969107922526,0.153710617312621,-0.2760912625866,0.0154951965418897
Blood Clotting Cascade WP460,0.585685418889326,-0.308434820138485,-0.59179255178933,-0.00157488977464104
Notch Signaling Pathway WP29,-0.570975199071122,-0.547772775677167,0.518375662333223,0.56922247390175
Oxidative Phosphorylation WP1248,-0.538246735158515,0.733261216692152,-0.088629485516645,-0.414739828923072
Eicosanoid Metabolism Via Cytochrome P450 Monooxygenases WP4349,-0.0759275237273512,0.694037227365407,-0.169441566663038,-0.394938401735299
Sphingolipid Metabolism Overview WP4344,0.372552020846177,-0.305987299445634,0.44675338075375,-0.340455973302988
IL 9 Signaling Pathway WP10,-0.63851765690474,0.211048769961157,-0.207715905310896,0.521928721657373
Eukaryotic Transcription Initiation WP567,0.183016646158513,-0.0700086430423509,-0.105609568081478,-0.142230820908284
Non Homologous End Joining WP1242,0.698640544110529,0.429741379310345,-0.527586206896552,-0.521574008047675
Pentose Phosphate Pathway WP63,0.0978448275862068,0.766810344827586,-0.142672413793103,-0.68448275862069
Sphingolipid Metabolism Integrated Pathway WP4690,0.372552020846177,-0.305987299445634,0.44675338075375,-0.340455973302988
Novel Jun Dmp1 Pathway WP3654,-0.187770350855527,-0.389925289836739,-0.119675119849897,0.356729129668806
IL 6 Signaling Pathway WP387,-0.413103074780689,-0.122351088599975,-0.112040116541079,0.474821860182497
Homologous Recombination WP1258,-0.254225702349233,0.480121650093805,0.647604369181017,-0.834857631946895
Methylation WP1247,-0.343646964521286,0.549338412189254,-0.05909643876088,-0.27194988539279
Statin Pathway WP1,0.014030746138388,0.57428745661166,-0.358303020144022,0.277833130874311
Regulation Of Actin Cytoskeleton WP523,-0.0934171445871109,-0.101917981384769,-0.0158292307948472,0.125771370057782
Burn Wound Healing WP5056,0.147971717135419,-0.486488576421915,0.0983996619652147,0.488938385208855
Wnt Signaling Pathway WP539,-0.358623571402985,-0.25516041807176,0.220018203811248,0.412828501109934
Mismatch Repair WP1257,0.489700722046022,0.477930055130373,-0.677405169854966,-0.62470791512795
Eicosanoid Metabolism Via Cyclooxygenases COX WP4347,-0.213243494210262,0.563264111237132,0.27284676323402,-0.495545106320534
Oxidative Stress Response WP412,0.634939849173776,0.338963464238936,-0.480484236833917,-0.275331847487894
SIDS Susceptibility Pathways WP1266,-0.0026424475245333,-0.423540972891935,-0.128872116647339,0.578466405471521
Leptin Insulin Signaling Overlap WP578,-0.281516683951119,-0.415545946454351,0.181703484647795,0.269545456726798
Cholesterol Biosynthesis WP103,-0.0198361362656317,0.954721862871928,-0.973695558430358,-0.0103492884864165
BDNF Pathway WP2152,-0.387081478720372,0.544516597735137,-0.523100746221143,0.699918206246096
Proteasome Degradation WP519,0.180054566683213,0.670267934312878,-0.643299724960663,-0.351134981826112
Wnt Signaling WP403,0.165245736747269,-0.204895792880077,-0.0426226486016707,0.036732929991357
Electron Transport Chain WP295,-0.436174055177734,0.670585595984813,-0.00912002795410877,-0.511205675493632
Comprehensive IL 17A Signaling WP5242,-0.302285124407016,0.0420336007936535,0.355324237260258,-0.0768608468721323
PPAR Signaling Pathway WP2316,0.307843026241826,0.550241131272764,-0.502513378845612,-0.447175906982971
Apoptosis WP1254,0.0844967759951195,-0.254887635847832,-0.143853985706302,0.166290611928458
FAS Pathway And Stress Induction Of HSP Regulation WP571,0.351604029285725,-0.0477739184566081,-0.0665390873112953,-0.492298187230577
Endochondral Ossification WP1270,-0.071468657725478,0.128806012953861,-0.0215315192558827,0.165820660593948
Serotonin And Anxiety WP2141,-0.25334551884763,-0.0400862068965518,0.459147801251628,-0.0868879392629489
Monoamine GPCRs WP570,0.332514083209897,0.255383063088579,-0.24383445400832,-0.0405172413793103
Purine Metabolism WP2185,-0.053248575565272,0.224763537104044,-0.117564387553567,-0.0371124679263131
Glycolysis And Gluconeogenesis WP157,-0.597214030758418,0.654817131328904,-0.0572602931261297,0.324457212038654
Neural Crest Differentiation WP2074,0.0036038338994932,-0.192612201184149,0.217545478908646,0.178698147433595
Mitochondrial Gene Expression WP1263,0.150731967592053,0.490263950603396,-0.0591159364684526,-0.481864728630576
Fibrin Complement Receptor 3 Signaling Pathway WP5128,0.496835848262487,-0.0444732297063903,-0.57944912655848,-0.325213580412864
Focal Adhesion WP85,-0.178800081459704,-0.144879641938611,-0.128747358086215,0.402202802082539
Eicosanoid Metabolism Via Lipoxygenases LOX WP4348,-0.0660051768766177,0.637323993234261,0.0218027651955937,-0.549255871920238
EPO Receptor Signaling WP1249,-0.511555771741306,0.280071745997751,-0.204543693982235,0.463692801017686
Mir 193A And MVP In Colon Cancer Metastasis WP3979,-0.290445631660446,-0.851085400178101,0.762034657054886,0.192589401120207
Serotonin And Anxiety Related Events WP2140,0.0892863833055467,-0.040068935803533,0.556973319529024,-0.433025778648862
ACE Inhibitor Pathway WP396,0.64729055843973,-0.551840095052736,-0.668074378185676,0.69656234381732
Ectodysplasin A Signaling In Hair Follicle Development WP3652,-0.0506237356709373,-0.728454590284209,0.569185465856504,-0.185748606196712
Delta Notch Signaling Pathway WP265,-0.490477244089355,-0.467818186017755,0.479167881005287,0.450283536439791
Tyrobp Causal Network In Microglia WP3625,0.257345727918749,0.104503109705308,0.0939935101495752,-0.454586563455332
P38 Mapk Signaling Pathway WP350,0.0315977292463297,-0.0375781774601483,-0.373402274845115,0.300578759227497
Glycogen Metabolism WP317,-0.606464358494638,0.722228364592075,-0.261231517619042,0.309359655484514
Ovarian Infertility WP273,-0.0645329180547655,0.56489051473865,-0.476516098661212,0.02501078050884
Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855,-0.392223071589067,0.488128292251648,-0.66717879226402,0.633185824878065
Heart Development WP2067,-0.260675630942255,0.197477207767258,0.437035470095177,0.241992999352221
G Protein Signaling Pathways WP232,-0.134855032477648,-0.214355050519884,-0.0304661935862147,0.466997170949819
Spinal Cord Injury WP2432,-0.412640489223883,-0.257050187381901,0.414842929780987,0.342672896019563
Cholesterol Metabolism W Bloch And Kandutsch Russell Pathways WP4346,-0.529195276318193,0.830332062813417,-0.750690855305418,0.470021653842307
Hypoxia Dependent Proliferation Of Myoblasts WP5024,-0.120893296442123,-0.122844827586207,0.275906012717515,0.0900814787367901
Mapk Cascade WP251,-0.533248533012949,-0.0423025900705052,-0.00663243347438391,0.640972595445487
Primary Focal Segmental Glomerulosclerosis FSGS WP2573,-0.0100293190744021,0.0751373663652117,-0.360751538093572,0.278860320959014
Wnt Signaling Pathway And Pluripotency WP723,0.110845017880948,-0.405172222338735,-0.0321176444848527,0.284365798709921
IL 3 Signaling Pathway WP373,-0.419796642849417,0.226981573812947,-0.14532707960517,0.351473012054622
Gene Regulatory Network Modelling Somitogenesis WP2852,-0.567611305121988,-0.743601139256306,0.617837139164153,0.440327445066781
GPCRs Class C Metabotropic Glutamate Pheromone WP327,-0.302758183621735,0.38363371606602,0.0680741059887979,0.0951905609211078
Mecp2 And Associated Rett Syndrome WP2910,0.0335458030837006,0.248255707082839,0.0528207543083047,-0.175848702061677
IL 2 Signaling Pathway WP450,-0.37817064274017,0.0770722842317115,0.122075008448731,0.265471993531465
ESC Pluripotency Pathways WP339,-0.172364357726483,-0.24772919388304,0.103122439351002,0.306696371113549
Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841,-0.225477692085899,-0.260692990122983,-0.00149354240677663,0.368494911039578
Kit Receptor Signaling Pathway WP407,-0.200069489970207,0.271562812443734,-0.288503279926146,-0.0922776727610748
IL 1 Signaling Pathway WP37,-0.429362681628543,0.10617177384549,0.0665141192066208,0.357272975624971
Integrin Mediated Cell Adhesion WP6,-0.0748560496712663,-0.00399721248730739,0.0247117250505667,0.0768402943348948
Glycerolipids And Glycerophospholipids WP4345,-0.533463180950975,-0.0342363258883568,0.415183781289861,0.239327296248383
Signal Transduction Of S1P Receptor WP57,-0.659335920655455,-0.344113842173351,0.496765847347995,0.684756954674602
Calcium Regulation In Cardiac Cells WP553,-0.196995354365951,-0.192893041058131,0.240797207548709,0.334081902536863
Apoptosis Modulation By HSP70 WP166,0.543965517241379,0.618993074611871,-0.683045398014271,-0.381034482758621
TCA Cycle WP434,-0.746657219169291,0.667040703246952,0.123175901264208,0.257232830819958
Nod Like Receptor NLR Signaling Pathway WP1256,0.298304901407744,-0.139356918800769,-0.613670638782851,0.539966666177258
Heme Biosynthesis WP18,-0.976734166307626,-0.034037052994399,0.499353726841878,0.561395950021542
Toll Like Receptor Signaling WP88,0.548959611082783,0.278155885660176,-0.433262989983386,-0.254580011157659
Oxidation By Cytochrome P450 WP1274,0.0699219838202224,-0.00287259388081443,-0.353500203993994,-0.342348885297329
Oxylipins Pathways WP5140,-0.811206896551724,-0.322448546163648,0.548275862068966,0.633076242988445
IL 7 Signaling Pathway WP297,-0.473413701602836,0.41471165353555,-0.199610396188365,0.156204822367964
Splicing Factor NOVA Regulated Synaptic Proteins WP1983,-0.306300450580002,-0.595340811044003,0.419688960511744,0.556514236410699
SREBF And miR33 In Cholesterol And Lipid Homeostasis WP2084,-0.94812091503268,-0.752892271849618,0.074105988797932,0.795777682033606
EBV LMP1 Signaling WP1243,0.570356451730082,-0.126724137931034,-0.460678640197092,0.0250700924403602
Factors And Pathways Affecting IGF1 Akt Signaling WP3675,-0.0804132281602907,-0.416384710392551,0.672428734526681,-0.146614920224235
ID Signaling Pathway WP512,-0.109142870059456,0.220582742582809,-0.0856671946391786,0.177062814330287
Alpha 6 Beta 4 Integrin Signaling Pathway WP488,-0.464967304341775,-0.0527633004032457,-0.0942853727424132,0.471131710964061
Metapathway Biotransformation WP1251,-0.425066073512073,0.371223902155625,0.0933667264262647,-0.380977703565792
Triacylglyceride Synthesis WP386,0.0836303784152879,0.387757481749845,-0.157800708231743,-0.118534482758621
One Carbon Metabolism And Related Pathways WP1770,-0.0204375591002668,0.263596590561085,-0.252565245226895,0.410745526296169
White Fat Cell Differentiation WP2872,-0.247511196222082,-0.467361775940296,-0.222736221482987,0.697418421405304
Elongation Of Very Long Chain Fatty Acids WP4491,-0.294280742098078,0.217293961962208,-0.655291307345314,0.536914474693112
Oxidative Damage Response WP1496,0.574069043704232,0.675174915744389,-0.607851596203624,-0.436583261432269
TGF Beta Signaling Pathway WP113,0.0363182350666166,-0.096729862785011,-0.0522227017695296,0.539134378614078
Fatty Acid Biosynthesis WP336,-0.841743408082016,0.952131455435125,-0.604019418861998,0.271517255448163
Aflatoxin B1 Metabolism WP1262,-0.874246339362619,-0.12489233419466,0.957795004306632,0.0628768303186908
Histone Modifications WP300,-0.337639965546942,-0.821705426356589,0.796726959517657,0.232558139534884
Transcriptional Activation By Nfe2l2 Response To Phytochemicals WP1245,-0.387911607949012,0.276175646906759,-0.301919984884188,0.221871856551246
