source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
WP,WP:WP4346,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,3.0557053544667945e-09,True,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,52,9,6,4801,0.6666666666666666,0.11538461538461539,query_1,['WP:000000'],"['ENSMUSG00000031604', 'ENSMUSG00000023832', 'ENSMUSG00000025153', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP']]"
REAC,REAC:R-MMU-191273,Cholesterol biosynthesis,1.4052250620003268e-08,True,Cholesterol biosynthesis,28,10,5,8514,0.5,0.17857142857142858,query_1,['REAC:R-MMU-8957322'],"['ENSMUSG00000031604', 'ENSMUSG00000023832', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
GO:BP,GO:0016125,sterol metabolic process,5.622862304943281e-08,True,"""The chemical reactions and pathways involving sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."" [ISBN:0198547684]",129,14,6,24936,0.42857142857142855,0.046511627906976744,query_1,['GO:0008202'],"['ENSMUSG00000021252', 'ENSMUSG00000031604', 'ENSMUSG00000024378', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['IEA'], ['IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA']]"
GO:BP,GO:0044283,small molecule biosynthetic process,7.588640623070451e-08,True,"""The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",500,14,8,24936,0.5714285714285714,0.016,query_1,"['GO:0009058', 'GO:0044281']","['ENSMUSG00000031604', 'ENSMUSG00000017390', 'ENSMUSG00000041220', 'ENSMUSG00000025153', 'ENSMUSG00000024378', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['IEA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA']]"
GO:BP,GO:0016126,sterol biosynthetic process,1.1676632042018794e-07,True,"""The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."" [GOC:go_curators]",57,14,5,24936,0.35714285714285715,0.08771929824561403,query_1,"['GO:0006694', 'GO:0016125']","['ENSMUSG00000021252', 'ENSMUSG00000031604', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006694,steroid biosynthetic process,1.522545311188059e-07,True,"""The chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus; includes de novo formation and steroid interconversion by modification."" [GOC:go_curators]",152,14,6,24936,0.42857142857142855,0.039473684210526314,query_1,"['GO:0008202', 'GO:0008610']","['ENSMUSG00000021252', 'ENSMUSG00000031604', 'ENSMUSG00000024378', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA']]"
REAC,REAC:R-MMU-8957322,Metabolism of steroids,3.116999014559699e-07,True,Metabolism of steroids,121,10,6,8514,0.6,0.049586776859504134,query_1,['REAC:R-MMU-556833'],"['ENSMUSG00000031604', 'ENSMUSG00000023832', 'ENSMUSG00000026675', 'ENSMUSG00000021135', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
GO:BP,GO:0008610,lipid biosynthetic process,3.6733029170694274e-07,True,"""The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."" [GOC:go_curators]",610,14,8,24936,0.5714285714285714,0.013114754098360656,query_1,"['GO:0006629', 'GO:0009058']","['ENSMUSG00000021252', 'ENSMUSG00000031604', 'ENSMUSG00000041220', 'ENSMUSG00000025153', 'ENSMUSG00000024378', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0044281,small molecule metabolic process,7.517261439118799e-07,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1549,14,10,24936,0.7142857142857143,0.006455777921239509,query_1,['GO:0008152'],"['ENSMUSG00000031604', 'ENSMUSG00000075543', 'ENSMUSG00000023832', 'ENSMUSG00000017390', 'ENSMUSG00000041220', 'ENSMUSG00000025153', 'ENSMUSG00000024378', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006629,lipid metabolic process,3.934849304661011e-06,True,"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]",1266,14,9,24936,0.6428571428571429,0.0071090047393364926,query_1,['GO:0044238'],"['ENSMUSG00000021252', 'ENSMUSG00000031604', 'ENSMUSG00000023832', 'ENSMUSG00000041220', 'ENSMUSG00000025153', 'ENSMUSG00000024378', 'ENSMUSG00000026675', 'ENSMUSG00000058258', 'ENSMUSG00000021273']","[['IEA'], ['IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA']]"
