source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0048731,system development,1.4768833737041759e-05,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3806,108,41,24936,0.37962962962962965,0.010772464529689963,query_1,"['GO:0007275', 'GO:0048856']","['ENSMUSG00000004040', 'ENSMUSG00000036686', 'ENSMUSG00000032231', 'ENSMUSG00000037541', 'ENSMUSG00000005087', 'ENSMUSG00000069662', 'ENSMUSG00000027889', 'ENSMUSG00000026304', 'ENSMUSG00000052512', 'ENSMUSG00000024621', 'ENSMUSG00000024426', 'ENSMUSG00000004043', 'ENSMUSG00000039145', 'ENSMUSG00000084128', 'ENSMUSG00000047497', 'ENSMUSG00000021250', 'ENSMUSG00000000142', 'ENSMUSG00000016028', 'ENSMUSG00000020782', 'ENSMUSG00000040552', 'ENSMUSG00000039298', 'ENSMUSG00000029821', 'ENSMUSG00000047414', 'ENSMUSG00000025225', 'ENSMUSG00000026872', 'ENSMUSG00000030302', 'ENSMUSG00000026395', 'ENSMUSG00000020212', 'ENSMUSG00000048826', 'ENSMUSG00000070473', 'ENSMUSG00000037820', 'ENSMUSG00000021200', 'ENSMUSG00000000555', 'ENSMUSG00000033253', 'ENSMUSG00000018593', 'ENSMUSG00000032334', 'ENSMUSG00000070436', 'ENSMUSG00000002393', 'ENSMUSG00000001247', 'ENSMUSG00000027204', 'ENSMUSG00000040447']","[['IDA', 'IMP', 'IGI'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IGI'], ['IMP', 'ISS', 'IEA'], ['IGI'], ['IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IGI'], ['IMP', 'IGI', 'IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'IGI'], ['IMP', 'TAS'], ['IMP', 'IGI'], ['IMP', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'ISS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
GO:BP,GO:0009605,response to external stimulus,0.00030553031680258686,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2346,108,29,24936,0.26851851851851855,0.0123614663256607,query_1,['GO:0050896'],"['ENSMUSG00000004040', 'ENSMUSG00000032231', 'ENSMUSG00000023259', 'ENSMUSG00000032420', 'ENSMUSG00000024621', 'ENSMUSG00000022587', 'ENSMUSG00000039236', 'ENSMUSG00000024426', 'ENSMUSG00000004043', 'ENSMUSG00000039145', 'ENSMUSG00000047497', 'ENSMUSG00000021250', 'ENSMUSG00000006403', 'ENSMUSG00000047180', 'ENSMUSG00000039853', 'ENSMUSG00000040552', 'ENSMUSG00000037922', 'ENSMUSG00000029821', 'ENSMUSG00000026938', 'ENSMUSG00000047414', 'ENSMUSG00000025225', 'ENSMUSG00000046688', 'ENSMUSG00000030302', 'ENSMUSG00000026395', 'ENSMUSG00000037921', 'ENSMUSG00000070473', 'ENSMUSG00000032334', 'ENSMUSG00000022500', 'ENSMUSG00000002393']","[['IDA', 'IEA'], ['IMP'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IMP'], ['IMP', 'IGI'], ['IMP', 'ISS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IGI'], ['IEA'], ['IEA'], ['IMP', 'IEA'], ['IEP'], ['IMP', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IMP'], ['IDA', 'IMP'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['IMP'], ['IMP']]"
GO:BP,GO:0002376,immune system process,0.0005452101694820049,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2557,108,30,24936,0.2777777777777778,0.011732499022291749,query_1,['GO:0008150'],"['ENSMUSG00000044206', 'ENSMUSG00000004040', 'ENSMUSG00000005087', 'ENSMUSG00000023259', 'ENSMUSG00000026304', 'ENSMUSG00000024621', 'ENSMUSG00000022587', 'ENSMUSG00000039236', 'ENSMUSG00000024426', 'ENSMUSG00000004043', 'ENSMUSG00000039145', 'ENSMUSG00000021250', 'ENSMUSG00000047180', 'ENSMUSG00000015090', 'ENSMUSG00000039853', 'ENSMUSG00000040552', 'ENSMUSG00000037922', 'ENSMUSG00000029821', 'ENSMUSG00000026938', 'ENSMUSG00000004730', 'ENSMUSG00000025225', 'ENSMUSG00000034641', 'ENSMUSG00000046688', 'ENSMUSG00000026395', 'ENSMUSG00000037921', 'ENSMUSG00000037321', 'ENSMUSG00000021200', 'ENSMUSG00000022500', 'ENSMUSG00000027204', 'ENSMUSG00000040447']","[['IDA', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['IMP'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IMP'], ['IDA', 'IMP', 'IGI'], ['IMP', 'ISS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IEA'], ['IGI', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IMP', 'TAS'], ['IEA'], ['ISS', 'IEA'], ['IMP', 'IGI', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA'], ['IMP'], ['IDA', 'IEA'], ['IDA', 'IMP']]"
GO:CC,GO:0005604,basement membrane,0.0007117031852494996,True,"""A collagen-containing extracellular matrix consisting of a thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers."" [PMID:22505934, PMID:33605520, PMID:39223427]",92,106,6,25413,0.05660377358490566,0.06521739130434782,query_1,['GO:0031012'],"['ENSMUSG00000032231', 'ENSMUSG00000028339', 'ENSMUSG00000048120', 'ENSMUSG00000018593', 'ENSMUSG00000032334', 'ENSMUSG00000027204']","[['IEA'], ['IDA'], ['IDA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0060348,bone development,0.0013670862450292727,True,"""The process whose specific outcome is the progression of bone over time, from its formation to the mature structure. Bone is the hard skeletal connective tissue consisting of both mineral and cellular components."" [GOC:dph]",227,108,9,24936,0.08333333333333333,0.039647577092511016,query_1,"['GO:0001501', 'GO:0048513']","['ENSMUSG00000032231', 'ENSMUSG00000047497', 'ENSMUSG00000000142', 'ENSMUSG00000026395', 'ENSMUSG00000037820', 'ENSMUSG00000018593', 'ENSMUSG00000070436', 'ENSMUSG00000027204', 'ENSMUSG00000040447']","[['IEA'], ['IGI'], ['IMP'], ['IEA'], ['ISS'], ['IMP'], ['IMP'], ['IDA', 'IEA'], ['IMP']]"
GO:BP,GO:0048856,anatomical structure development,0.0014197616939370281,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5738,108,48,24936,0.4444444444444444,0.008365284071104914,query_1,['GO:0032502'],"['ENSMUSG00000004040', 'ENSMUSG00000036686', 'ENSMUSG00000032231', 'ENSMUSG00000037541', 'ENSMUSG00000005087', 'ENSMUSG00000020592', 'ENSMUSG00000069662', 'ENSMUSG00000023259', 'ENSMUSG00000027889', 'ENSMUSG00000026304', 'ENSMUSG00000052512', 'ENSMUSG00000024621', 'ENSMUSG00000024426', 'ENSMUSG00000004043', 'ENSMUSG00000060657', 'ENSMUSG00000039145', 'ENSMUSG00000084128', 'ENSMUSG00000047497', 'ENSMUSG00000021250', 'ENSMUSG00000000142', 'ENSMUSG00000016028', 'ENSMUSG00000032812', 'ENSMUSG00000020782', 'ENSMUSG00000040552', 'ENSMUSG00000039298', 'ENSMUSG00000014601', 'ENSMUSG00000029821', 'ENSMUSG00000047414', 'ENSMUSG00000025225', 'ENSMUSG00000026872', 'ENSMUSG00000030302', 'ENSMUSG00000026395', 'ENSMUSG00000020212', 'ENSMUSG00000048826', 'ENSMUSG00000070473', 'ENSMUSG00000020961', 'ENSMUSG00000037820', 'ENSMUSG00000021200', 'ENSMUSG00000000555', 'ENSMUSG00000033253', 'ENSMUSG00000018593', 'ENSMUSG00000032334', 'ENSMUSG00000020607', 'ENSMUSG00000070436', 'ENSMUSG00000002393', 'ENSMUSG00000001247', 'ENSMUSG00000027204', 'ENSMUSG00000040447']","[['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IEA'], ['IDA', 'IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IGI'], ['IGI', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['ISS', 'IEA'], ['IMP'], ['IDA', 'IMP', 'IGI'], ['IMP', 'TAS'], ['IMP', 'IGI'], ['IMP', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IMP'], ['IMP', 'IGI'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IMP', 'ISS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IMP'], ['IMP'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
GO:MF,GO:0005488,binding,0.0018572793150083908,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",15131,104,88,23512,0.8461538461538461,0.0058158746943361315,query_1,['GO:0003674'],"['ENSMUSG00000020741', 'ENSMUSG00000020589', 'ENSMUSG00000119520', 'ENSMUSG00000005553', 'ENSMUSG00000004040', 'ENSMUSG00000036686', 'ENSMUSG00000029369', 'ENSMUSG00000032231', 'ENSMUSG00000037541', 'ENSMUSG00000091721', 'ENSMUSG00000057596', 'ENSMUSG00000005087', 'ENSMUSG00000020592', 'ENSMUSG00000069662', 'ENSMUSG00000023259', 'ENSMUSG00000027889', 'ENSMUSG00000032420', 'ENSMUSG00000026304', 'ENSMUSG00000052512', 'ENSMUSG00000028339', 'ENSMUSG00000024621', 'ENSMUSG00000039236', 'ENSMUSG00000004043', 'ENSMUSG00000060657', 'ENSMUSG00000039145', 'ENSMUSG00000084128', 'ENSMUSG00000047497', 'ENSMUSG00000049907', 'ENSMUSG00000021250', 'ENSMUSG00000000142', 'ENSMUSG00000026944', 'ENSMUSG00000006403', 'ENSMUSG00000047180', 'ENSMUSG00000104445', 'ENSMUSG00000016028', 'ENSMUSG00000052751', 'ENSMUSG00000015090', 'ENSMUSG00000039853', 'ENSMUSG00000001482', 'ENSMUSG00000032812', 'ENSMUSG00000020782', 'ENSMUSG00000037922', 'ENSMUSG00000039298', 'ENSMUSG00000047409', 'ENSMUSG00000014601', 'ENSMUSG00000029821', 'ENSMUSG00000026938', 'ENSMUSG00000002083', 'ENSMUSG00000047414', 'ENSMUSG00000014542', 'ENSMUSG00000004730', 'ENSMUSG00000025225', 'ENSMUSG00000119132', 'ENSMUSG00000026872', 'ENSMUSG00000034641', 'ENSMUSG00000048120', 'ENSMUSG00000046688', 'ENSMUSG00000022779', 'ENSMUSG00000030257', 'ENSMUSG00000041577', 'ENSMUSG00000030302', 'ENSMUSG00000026395', 'ENSMUSG00000037921', 'ENSMUSG00000036813', 'ENSMUSG00000020212', 'ENSMUSG00000025203', 'ENSMUSG00000048826', 'ENSMUSG00000070473', 'ENSMUSG00000001473', 'ENSMUSG00000020961', 'ENSMUSG00000037820', 'ENSMUSG00000037321', 'ENSMUSG00000021200', 'ENSMUSG00000000555', 'ENSMUSG00000029922', 'ENSMUSG00000040312', 'ENSMUSG00000018593', 'ENSMUSG00000032334', 'ENSMUSG00000027641', 'ENSMUSG00000033526', 'ENSMUSG00000052305', 'ENSMUSG00000022500', 'ENSMUSG00000024131', 'ENSMUSG00000070436', 'ENSMUSG00000002393', 'ENSMUSG00000001247', 'ENSMUSG00000044359', 'ENSMUSG00000027204']","[['IEA'], ['IEA'], ['IEA'], ['IPI', 'ISS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IEA'], ['IDA', 'IPI', 'IEA'], ['ISS', 'IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IEA'], ['IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['EXP', 'IDA', 'IPI', 'IEA'], ['IDA', 'IPI'], ['IEA'], ['IEA'], ['IPI', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IPI'], ['IDA', 'IPI', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IPI', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IEA'], ['IEA'], ['IPI', 'TAS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IPI', 'ISS', 'IEA'], ['IEA'], ['IPI'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IPI'], ['IPI', 'IEA'], ['IEA'], ['IEA'], ['IPI', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IPI', 'IMP', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'IPI'], ['IPI', 'IEA'], ['IEA'], ['IPI'], ['ISS', 'NAS', 'IEA'], ['IPI', 'IEA'], ['IPI', 'ISS', 'IEA'], ['IPI', 'IEA'], ['IDA', 'IEA'], ['IPI'], ['IDA', 'IPI', 'IEA'], ['IEA'], ['IPI', 'ISO', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IPI', 'ISS', 'IEA'], ['IPI', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IPI', 'TAS'], ['IC'], ['IPI', 'ISS', 'IEA']]"
GO:BP,GO:0007275,multicellular organism development,0.002102224030892389,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4535,108,41,24936,0.37962962962962965,0.009040793825799339,query_1,"['GO:0032501', 'GO:0048856']","['ENSMUSG00000004040', 'ENSMUSG00000036686', 'ENSMUSG00000032231', 'ENSMUSG00000037541', 'ENSMUSG00000005087', 'ENSMUSG00000069662', 'ENSMUSG00000027889', 'ENSMUSG00000026304', 'ENSMUSG00000052512', 'ENSMUSG00000024621', 'ENSMUSG00000024426', 'ENSMUSG00000004043', 'ENSMUSG00000039145', 'ENSMUSG00000084128', 'ENSMUSG00000047497', 'ENSMUSG00000021250', 'ENSMUSG00000000142', 'ENSMUSG00000016028', 'ENSMUSG00000020782', 'ENSMUSG00000040552', 'ENSMUSG00000039298', 'ENSMUSG00000029821', 'ENSMUSG00000047414', 'ENSMUSG00000025225', 'ENSMUSG00000026872', 'ENSMUSG00000030302', 'ENSMUSG00000026395', 'ENSMUSG00000020212', 'ENSMUSG00000048826', 'ENSMUSG00000070473', 'ENSMUSG00000037820', 'ENSMUSG00000021200', 'ENSMUSG00000000555', 'ENSMUSG00000033253', 'ENSMUSG00000018593', 'ENSMUSG00000032334', 'ENSMUSG00000070436', 'ENSMUSG00000002393', 'ENSMUSG00000001247', 'ENSMUSG00000027204', 'ENSMUSG00000040447']","[['IDA', 'IMP', 'IGI', 'ISS', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IGI'], ['IMP', 'ISS', 'IEA'], ['IGI'], ['IGI', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IMP', 'IGI', 'IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'IGI'], ['IMP', 'TAS'], ['IMP', 'IGI'], ['IMP', 'ISS', 'IEA'], ['IMP', 'IEA'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'ISS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IGI', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IMP'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'IEA'], ['IMP']]"
GO:CC,GO:0031012,extracellular matrix,0.002928193985970031,True,"""A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."" [GOC:BHF, GOC:mah, GOC:rph, PMID:21123617, PMID:28089324, PMID:33605520]",249,106,8,25413,0.07547169811320754,0.0321285140562249,query_1,['GO:0030312'],"['ENSMUSG00000032231', 'ENSMUSG00000052512', 'ENSMUSG00000028339', 'ENSMUSG00000048120', 'ENSMUSG00000037820', 'ENSMUSG00000018593', 'ENSMUSG00000032334', 'ENSMUSG00000027204']","[['IEA'], ['IDA'], ['IDA'], ['IDA'], ['TAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'TAS', 'IEA']]"
GO:CC,GO:0030312,external encapsulating structure,0.0031032496662384943,True,"""A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space."" [GOC:go_curators]",251,106,8,25413,0.07547169811320754,0.03187250996015936,query_1,"['GO:0071944', 'GO:0110165']","['ENSMUSG00000032231', 'ENSMUSG00000052512', 'ENSMUSG00000028339', 'ENSMUSG00000048120', 'ENSMUSG00000037820', 'ENSMUSG00000018593', 'ENSMUSG00000032334', 'ENSMUSG00000027204']","[['IEA'], ['IDA'], ['IDA'], ['IDA'], ['TAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'TAS', 'IEA']]"
