source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0032787,monocarboxylic acid metabolic process,5.185689198193381e-17,True,"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]",549,115,27,24936,0.23478260869565218,0.04918032786885246,query_1,['GO:0019752'],"['ENSMUSG00000028671', 'ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000020532', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000060317', 'ENSMUSG00000042010', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000033685', 'ENSMUSG00000072949', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000027533', 'ENSMUSG00000041653', 'ENSMUSG00000046402', 'ENSMUSG00000039529', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000025202', 'ENSMUSG00000025002', 'ENSMUSG00000063229', 'ENSMUSG00000053279', 'ENSMUSG00000021620', 'ENSMUSG00000025153']","[['IC'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP'], ['IMP'], ['IEA'], ['IMP', 'IGI', 'IEA'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IDA', 'IMP', 'IGI'], ['TAS', 'IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0019752,carboxylic acid metabolic process,2.3017474483560427e-15,True,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",769,115,29,24936,0.25217391304347825,0.0377113133940182,query_1,['GO:0043436'],"['ENSMUSG00000028671', 'ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000020532', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000060317', 'ENSMUSG00000031700', 'ENSMUSG00000042010', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000033685', 'ENSMUSG00000072949', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000027533', 'ENSMUSG00000041653', 'ENSMUSG00000046402', 'ENSMUSG00000039529', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000025202', 'ENSMUSG00000025002', 'ENSMUSG00000063229', 'ENSMUSG00000053279', 'ENSMUSG00000021620', 'ENSMUSG00000013629', 'ENSMUSG00000025153']","[['IC'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP'], ['IMP'], ['IEA'], ['IMP', 'IGI', 'IEA'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IDA', 'IMP', 'IGI'], ['TAS', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0043436,oxoacid metabolic process,3.737821618628761e-15,True,"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]",783,115,29,24936,0.25217391304347825,0.037037037037037035,query_1,['GO:0006082'],"['ENSMUSG00000028671', 'ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000020532', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000060317', 'ENSMUSG00000031700', 'ENSMUSG00000042010', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000033685', 'ENSMUSG00000072949', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000027533', 'ENSMUSG00000041653', 'ENSMUSG00000046402', 'ENSMUSG00000039529', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000025202', 'ENSMUSG00000025002', 'ENSMUSG00000063229', 'ENSMUSG00000053279', 'ENSMUSG00000021620', 'ENSMUSG00000013629', 'ENSMUSG00000025153']","[['IC'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP'], ['IMP'], ['IEA'], ['IMP', 'IGI', 'IEA'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IDA', 'IMP', 'IGI'], ['TAS', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0006082,organic acid metabolic process,4.587419672983153e-15,True,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",789,115,29,24936,0.25217391304347825,0.036755386565272496,query_1,['GO:0044281'],"['ENSMUSG00000028671', 'ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000020532', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000060317', 'ENSMUSG00000031700', 'ENSMUSG00000042010', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000033685', 'ENSMUSG00000072949', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000027533', 'ENSMUSG00000041653', 'ENSMUSG00000046402', 'ENSMUSG00000039529', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000025202', 'ENSMUSG00000025002', 'ENSMUSG00000063229', 'ENSMUSG00000053279', 'ENSMUSG00000021620', 'ENSMUSG00000013629', 'ENSMUSG00000025153']","[['IC'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP'], ['IMP'], ['IEA'], ['IMP', 'IGI', 'IEA'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IDA', 'IMP', 'IGI'], ['TAS', 'IEA'], ['IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0006631,fatty acid metabolic process,3.6695005818295906e-14,True,"""The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."" [ISBN:0198547684]",357,115,21,24936,0.1826086956521739,0.058823529411764705,query_1,"['GO:0006629', 'GO:0032787']","['ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000020532', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000060317', 'ENSMUSG00000042010', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000072949', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000027533', 'ENSMUSG00000041653', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000025202', 'ENSMUSG00000025002', 'ENSMUSG00000021620', 'ENSMUSG00000025153']","[['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP'], ['IMP'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IDA'], ['TAS', 'IEA'], ['IDA', 'IEA']]"
GO:BP,GO:0044281,small molecule metabolic process,5.47946468992864e-14,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1549,115,37,24936,0.3217391304347826,0.023886378308586184,query_1,['GO:0008152'],"['ENSMUSG00000058454', 'ENSMUSG00000028671', 'ENSMUSG00000035948', 'ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000020532', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000037470', 'ENSMUSG00000060317', 'ENSMUSG00000031700', 'ENSMUSG00000042010', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000033685', 'ENSMUSG00000072949', 'ENSMUSG00000025509', 'ENSMUSG00000017754', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000027533', 'ENSMUSG00000041653', 'ENSMUSG00000046402', 'ENSMUSG00000030302', 'ENSMUSG00000039529', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000025202', 'ENSMUSG00000066441', 'ENSMUSG00000025002', 'ENSMUSG00000038372', 'ENSMUSG00000063229', 'ENSMUSG00000053279', 'ENSMUSG00000021620', 'ENSMUSG00000013629', 'ENSMUSG00000025153']","[['IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IEA'], ['IDA', 'IMP'], ['IMP'], ['IEA'], ['IMP', 'IGI', 'IEA'], ['IMP'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IEA'], ['ISS', 'ISO', 'IEA'], ['IDA', 'IMP', 'IC', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IDA', 'IEA']]"
GO:CC,GO:0005783,endoplasmic reticulum,1.4689314878312681e-13,True,"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]",1758,120,38,25413,0.31666666666666665,0.02161547212741752,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']","['ENSMUSG00000032115', 'ENSMUSG00000030062', 'ENSMUSG00000020571', 'ENSMUSG00000058454', 'ENSMUSG00000030161', 'ENSMUSG00000022769', 'ENSMUSG00000005547', 'ENSMUSG00000032383', 'ENSMUSG00000027248', 'ENSMUSG00000053317', 'ENSMUSG00000030082', 'ENSMUSG00000003053', 'ENSMUSG00000027999', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000037470', 'ENSMUSG00000028757', 'ENSMUSG00000004460', 'ENSMUSG00000033684', 'ENSMUSG00000030659', 'ENSMUSG00000000555', 'ENSMUSG00000010025', 'ENSMUSG00000024222', 'ENSMUSG00000071369', 'ENSMUSG00000003814', 'ENSMUSG00000030302', 'ENSMUSG00000039529', 'ENSMUSG00000035845', 'ENSMUSG00000038776', 'ENSMUSG00000032575', 'ENSMUSG00000025202', 'ENSMUSG00000020873', 'ENSMUSG00000026864', 'ENSMUSG00000066441', 'ENSMUSG00000025823', 'ENSMUSG00000025002', 'ENSMUSG00000037820']","[['IDA', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'ISO', 'ISA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'ISO', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['ISS', 'IEA'], ['ISS', 'NAS', 'IEA'], ['IEA'], ['ISO'], ['IDA', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IMP', 'ISS', 'ISO', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'ISO', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006629,lipid metabolic process,2.810444426177741e-12,True,"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]",1266,115,32,24936,0.2782608695652174,0.02527646129541864,query_1,['GO:0044238'],"['ENSMUSG00000058454', 'ENSMUSG00000035948', 'ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000020532', 'ENSMUSG00000027999', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000060317', 'ENSMUSG00000055912', 'ENSMUSG00000042010', 'ENSMUSG00000056091', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000072949', 'ENSMUSG00000025509', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000027533', 'ENSMUSG00000041653', 'ENSMUSG00000046402', 'ENSMUSG00000039529', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000025202', 'ENSMUSG00000066441', 'ENSMUSG00000025277', 'ENSMUSG00000025002', 'ENSMUSG00000053279', 'ENSMUSG00000021620', 'ENSMUSG00000025153']","[['IMP', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IC', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'TAS', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IMP'], ['IMP', 'IGI'], ['IEA'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IMP', 'IEA']]"
GO:CC,GO:0005737,cytoplasm,3.776424830048402e-12,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",10727,120,92,25413,0.7666666666666667,0.008576489232777105,query_1,"['GO:0005622', 'GO:0110165']","['ENSMUSG00000032115', 'ENSMUSG00000061306', 'ENSMUSG00000025151', 'ENSMUSG00000030062', 'ENSMUSG00000020571', 'ENSMUSG00000021281', 'ENSMUSG00000058454', 'ENSMUSG00000030161', 'ENSMUSG00000022769', 'ENSMUSG00000005547', 'ENSMUSG00000032383', 'ENSMUSG00000035948', 'ENSMUSG00000027248', 'ENSMUSG00000026822', 'ENSMUSG00000028874', 'ENSMUSG00000040713', 'ENSMUSG00000053317', 'ENSMUSG00000030545', 'ENSMUSG00000030082', 'ENSMUSG00000024900', 'ENSMUSG00000003053', 'ENSMUSG00000038422', 'ENSMUSG00000049775', 'ENSMUSG00000055116', 'ENSMUSG00000020532', 'ENSMUSG00000048782', 'ENSMUSG00000027999', 'ENSMUSG00000004038', 'ENSMUSG00000024052', 'ENSMUSG00000041220', 'ENSMUSG00000037071', 'ENSMUSG00000037470', 'ENSMUSG00000028757', 'ENSMUSG00000060317', 'ENSMUSG00000004460', 'ENSMUSG00000031700', 'ENSMUSG00000039145', 'ENSMUSG00000042010', 'ENSMUSG00000033684', 'ENSMUSG00000056091', 'ENSMUSG00000002831', 'ENSMUSG00000038539', 'ENSMUSG00000079227', 'ENSMUSG00000011305', 'ENSMUSG00000020917', 'ENSMUSG00000033685', 'ENSMUSG00000072949', 'ENSMUSG00000058013', 'ENSMUSG00000030659', 'ENSMUSG00000000555', 'ENSMUSG00000025509', 'ENSMUSG00000023393', 'ENSMUSG00000010025', 'ENSMUSG00000037622', 'ENSMUSG00000024222', 'ENSMUSG00000027533', 'ENSMUSG00000021922', 'ENSMUSG00000071369', 'ENSMUSG00000042349', 'ENSMUSG00000003814', 'ENSMUSG00000032220', 'ENSMUSG00000046402', 'ENSMUSG00000036995', 'ENSMUSG00000030302', 'ENSMUSG00000039529', 'ENSMUSG00000022462', 'ENSMUSG00000002910', 'ENSMUSG00000018900', 'ENSMUSG00000035845', 'ENSMUSG00000020123', 'ENSMUSG00000038776', 'ENSMUSG00000000303', 'ENSMUSG00000032334', 'ENSMUSG00000032575', 'ENSMUSG00000026614', 'ENSMUSG00000025202', 'ENSMUSG00000020873', 'ENSMUSG00000026864', 'ENSMUSG00000091780', 'ENSMUSG00000066441', 'ENSMUSG00000025823', 'ENSMUSG00000025277', 'ENSMUSG00000025002', 'ENSMUSG00000026571', 'ENSMUSG00000038372', 'ENSMUSG00000063229', 'ENSMUSG00000053279', 'ENSMUSG00000037820', 'ENSMUSG00000021620', 'ENSMUSG00000058997', 'ENSMUSG00000013629', 'ENSMUSG00000025153']","[['IDA', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISO', 'IEA'], ['IDA', 'ISO', 'ISA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['HDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'ISO', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'ISO', 'TAS', 'IEA'], ['ISS', 'TAS', 'IEA'], ['HDA', 'ISS', 'TAS', 'IEA'], ['IEA'], ['HDA'], ['IDA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IGI', 'HDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['ISS', 'IEA'], ['ISS', 'NAS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'ISO', 'IEA'], ['HDA'], ['ISS', 'ISO', 'IEA'], ['IDA', 'HDA', 'IEA'], ['ISS', 'ISO', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['HDA', 'ISS', 'IEA'], ['IDA', 'HDA', 'ISA', 'IEA'], ['HDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IDA', 'ISO', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IDA'], ['TAS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'ISS', 'ISO', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['ISO', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'ISS', 'ISO', 'TAS', 'IEA'], ['IDA', 'ISS', 'ISO', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IDA'], ['IDA', 'HDA', 'IEA'], ['ISS', 'IEA'], ['ISS', 'ISA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'HDA', 'IEA'], ['ISO', 'IEA'], ['IDA', 'HDA', 'ISO', 'IEA']]"
GO:CC,GO:0140534,endoplasmic reticulum protein-containing complex,3.4554427874671503e-11,True,"""A protein complex that is part of an endoplasmic reticulum."" [GOC:pg]",108,120,12,25413,0.1,0.1111111111111111,query_1,"['GO:0005783', 'GO:0032991']","['ENSMUSG00000032115', 'ENSMUSG00000030062', 'ENSMUSG00000022769', 'ENSMUSG00000032383', 'ENSMUSG00000027248', 'ENSMUSG00000053317', 'ENSMUSG00000041220', 'ENSMUSG00000028757', 'ENSMUSG00000004460', 'ENSMUSG00000071369', 'ENSMUSG00000003814', 'ENSMUSG00000026864']","[['IDA'], ['IDA', 'NAS', 'IEA'], ['IDA'], ['IDA'], ['ISO', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'NAS'], ['IEA'], ['IEA'], ['IMP', 'IEA'], ['IDA', 'IEA']]"
