source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-MMU-191273,Cholesterol biosynthesis,7.266006716709837e-30,True,Cholesterol biosynthesis,28,52,17,8514,0.3269230769230769,0.6071428571428571,query_1,['REAC:R-MMU-8957322'],"['ENSMUSG00000006517', 'ENSMUSG00000031349', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000022351', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000023832', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
GO:BP,GO:0016126,sterol biosynthetic process,1.3571607347864765e-27,True,"""The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."" [GOC:go_curators]",57,70,17,24936,0.24285714285714285,0.2982456140350877,query_1,"['GO:0006694', 'GO:0016125']","['ENSMUSG00000006517', 'ENSMUSG00000045294', 'ENSMUSG00000031349', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000022351', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['IEA'], ['IGI', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA'], ['IMP', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA']]"
GO:BP,GO:1902653,secondary alcohol biosynthetic process,3.24677281217031e-26,True,"""The chemical reactions and pathways resulting in the formation of secondary alcohol."" [GO_REF:0000068, GOC:mengo_curators, GOC:TermGenie, PMID:11288200]",51,70,16,24936,0.22857142857142856,0.3137254901960784,query_1,"['GO:0046165', 'GO:1902652']","['ENSMUSG00000006517', 'ENSMUSG00000045294', 'ENSMUSG00000031349', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['IEA'], ['IGI', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA']]"
GO:BP,GO:0006695,cholesterol biosynthetic process,3.24677281217031e-26,True,"""The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones."" [GOC:ai]",51,70,16,24936,0.22857142857142856,0.3137254901960784,query_1,"['GO:0008203', 'GO:0016126', 'GO:1902653']","['ENSMUSG00000006517', 'ENSMUSG00000045294', 'ENSMUSG00000031349', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['IEA'], ['IGI', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA']]"
WP,WP:WP103,Cholesterol biosynthesis,2.773066264552715e-24,True,Cholesterol biosynthesis,15,45,13,4801,0.28888888888888886,0.8666666666666667,query_1,['WP:000000'],"['ENSMUSG00000006517', 'ENSMUSG00000031349', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000022351', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP']]"
WP,WP:WP4346,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,9.145906050767849e-24,True,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,52,45,18,4801,0.4,0.34615384615384615,query_1,['WP:000000'],"['ENSMUSG00000006517', 'ENSMUSG00000031349', 'ENSMUSG00000025153', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000022351', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000023832', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP']]"
GO:BP,GO:0044281,small molecule metabolic process,4.159596352222504e-23,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1549,70,37,24936,0.5285714285714286,0.023886378308586184,query_1,['GO:0008152'],"['ENSMUSG00000006517', 'ENSMUSG00000045294', 'ENSMUSG00000027605', 'ENSMUSG00000017390', 'ENSMUSG00000064368', 'ENSMUSG00000031349', 'ENSMUSG00000020917', 'ENSMUSG00000025153', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000022354', 'ENSMUSG00000026895', 'ENSMUSG00000093930', 'ENSMUSG00000023456', 'ENSMUSG00000046794', 'ENSMUSG00000059734', 'ENSMUSG00000030647', 'ENSMUSG00000033105', 'ENSMUSG00000024978', 'ENSMUSG00000025950', 'ENSMUSG00000032018', 'ENSMUSG00000043445', 'ENSMUSG00000006057', 'ENSMUSG00000075706', 'ENSMUSG00000008035', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000022351', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000023832', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467', 'ENSMUSG00000020444', 'ENSMUSG00000046814']","[['IEA'], ['IGI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['NAS'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IEA'], ['NAS'], ['NAS'], ['IEA'], ['IDA', 'IGI', 'ISS', 'IC', 'IEA'], ['IMP'], ['NAS'], ['NAS', 'IEA'], ['IEA'], ['IMP'], ['IDA', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IEA'], ['IDA']]"
GO:BP,GO:1902652,secondary alcohol metabolic process,1.0619125417288678e-22,True,"""The chemical reactions and pathways involving secondary alcohol."" [GO_REF:0000068, GOC:mengo_curators, GOC:TermGenie, PMID:11288200]",131,70,18,24936,0.2571428571428571,0.13740458015267176,query_1,['GO:0006066'],"['ENSMUSG00000006517', 'ENSMUSG00000045294', 'ENSMUSG00000031349', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000025950', 'ENSMUSG00000032018', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000022351', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['IEA'], ['IGI', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA']]"
GO:BP,GO:0046165,alcohol biosynthetic process,8.820465557647596e-22,True,"""The chemical reactions and pathways resulting in the formation of alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom."" [GOC:ai]",116,70,17,24936,0.24285714285714285,0.14655172413793102,query_1,"['GO:0006066', 'GO:0044283']","['ENSMUSG00000006517', 'ENSMUSG00000045294', 'ENSMUSG00000031349', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000043445', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['IEA'], ['IGI', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA']]"
GO:BP,GO:0008203,cholesterol metabolic process,2.931430977546015e-21,True,"""The chemical reactions and pathways involving cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones. It is a component of the plasma membrane lipid bilayer and of plasma lipoproteins and can be found in all animal tissues."" [ISBN:0198506732]",124,70,17,24936,0.24285714285714285,0.13709677419354838,query_1,"['GO:0016125', 'GO:1902652']","['ENSMUSG00000006517', 'ENSMUSG00000045294', 'ENSMUSG00000031349', 'ENSMUSG00000020538', 'ENSMUSG00000041939', 'ENSMUSG00000093930', 'ENSMUSG00000033105', 'ENSMUSG00000032018', 'ENSMUSG00000026675', 'ENSMUSG00000058454', 'ENSMUSG00000021273', 'ENSMUSG00000022351', 'ENSMUSG00000058258', 'ENSMUSG00000031604', 'ENSMUSG00000024799', 'ENSMUSG00000021670', 'ENSMUSG00000001467']","[['IEA'], ['IGI', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA']]"
