,ZT0Tx-ZT12Tx_male,ZT0V-ZT0Tx_male,ZT0V-ZT12Tx_male,ZT0V-ZT12V_male,ZT12V-ZT0Tx_male,ZT12V-ZT12Tx_male,ZT0Tx-ZT12Tx_female,ZT0V-ZT0Tx_female,ZT0V-ZT12Tx_female,ZT0V-ZT12V_female,ZT12V-ZT0Tx_female,ZT12V-ZT12Tx_female
ENSMUSG00000034445,True,False,False,False,False,False,False,False,False,False,False,False
ENSMUSG00000049580,True,False,True,True,True,False,True,False,True,True,True,False
ENSMUSG00000009569,False,False,False,True,False,False,False,False,False,False,False,False
ENSMUSG00000034088,False,False,False,False,True,False,False,False,False,False,False,False
ENSMUSG00000025337,False,False,False,False,False,False,False,False,False,True,False,False
ENSMUSG00000024143,True,False,False,False,True,False,False,False,False,True,False,False
ENSMUSG00000036334,True,False,False,False,True,False,False,False,False,False,False,False
ENSMUSG00000008575,False,False,False,True,False,False,True,False,False,False,True,False
ENSMUSG00000089712,True,False,True,True,True,False,True,False,True,True,True,False
ENSMUSG00000011158,False,False,True,True,False,False,False,False,False,True,False,False
ENSMUSG00000032120,True,False,True,True,True,False,False,False,False,False,False,False
ENSMUSG00000038065,False,False,False,False,True,False,False,False,False,False,False,False
ENSMUSG00000018566,True,False,False,False,False,False,False,False,False,False,False,False
ENSMUSG00000026254,True,False,True,False,False,False,False,False,False,False,False,False
ENSMUSG00000031299,True,False,False,False,False,False,False,False,False,False,False,False
ENSMUSG00000109652,False,False,False,True,False,False,False,False,False,False,False,False
ENSMUSG00000029708,False,False,False,True,True,False,True,False,True,False,False,False
ENSMUSG00000028920,False,False,True,True,True,False,False,False,False,False,False,False
ENSMUSG00000042903,False,False,False,True,True,False,False,False,False,False,False,False
ENSMUSG00000025577,False,False,False,False,False,False,False,False,True,True,False,False
ENSMUSG00000024378,True,False,False,False,True,False,True,False,True,False,True,False
ENSMUSG00000034612,False,False,False,False,False,False,True,False,False,False,True,False
